"filename", "language", "Python", "Markdown", "YAML", "HTML", "pip requirements", "Docker", "Shell Script", "Properties", "JSON", "JSON with Comments", "TypeScript JSX", "TypeScript", "CSS", "XML", "JavaScript", "CSV", "comment", "blank", "total"
"c:\Users\micha\Desktop\Projects\telegram-channels-parser\parser\import_entities_from_csv.py", "Python", 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 49
"c:\Users\micha\Desktop\Projects\telegram-channels-parser\parser\kafka_producer.py", "Python", 64, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8, 73
"c:\Users\micha\Desktop\Projects\telegram-channels-parser\parser\main.py", "Python", 902, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 66, 74, 1042
"c:\Users\micha\Desktop\Projects\telegram-channels-parser\parser\postgres_state.py", "Python", 76, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 85
"c:\Users\micha\Desktop\Projects\telegram-channels-parser\parser\rate_limiter.py", "Python", 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 26
"c:\Users\micha\Desktop\Projects\telegram-channels-parser\parser\requirements.txt", "pip requirements", 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
"c:\Users\micha\Desktop\Projects\telegram-channels-parser\parser\task_queue_manager.py", "Python", 104, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 10, 122
"c:\Users\micha\Desktop\Projects\telegram-channels-parser\parser\test_telethon_download.py", "Python", 56, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 60
"c:\Users\micha\Desktop\Projects\telegram-channels-parser\parser\utils.py", "Python", 95, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 12, 115
"c:\Users\micha\Desktop\Projects\telegram-channels-parser\prometheus.yml", "YAML", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11
"c:\Users\micha\Desktop\Projects\telegram-channels-parser\promtail-config.yaml", "YAML", 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 19
"c:\Users\micha\Desktop\Projects\telegram-channels-parser\rainbow-text.html", "HTML", 0, 0, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 62
"c:\Users\micha\Desktop\Projects\telegram-channels-parser\solution.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\micha\Desktop\Projects\telegram-channels-parser\test_telethon_download.py", "Python", 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 61
"Total", "-", 4392, 46, 300, 74, 28, 50, 8, 27, 4321, 7, 517, 71, 98, 2, 27, 176, 436, 731, 11311
